district,year,loss_ha
Kalabo,2008,845.5968106728945
Lukulu,2008,2332.8840105387135
Senanga,2008,178.21821825927734
Shang'ombo,2008,321.36296880699007
Chibombo,2009,1118.4629439224782
Kabwe,2009,66.17738796386719
Kapiri-Mposhi,2009,1511.0254969149719
Mkushi,2009,1143.7849619872327
Mumbwa,2009,1244.7900349627805
Serenje,2009,1140.443038850026
Chililabombwe,2009,95.20803878894283
Chingola,2009,168.57634447665345
Kalulushi,2009,576.1894659509755
Kitwe,2009,104.36659528468711
Luanshya,2009,228.74576754933074
Lufwanyama,2009,1643.3490796473843
Masaiti,2009,1129.2453816467764
Mpongwe,2009,3186.4097017644663
Mufulira,2009,189.7515979786353
Ndola,2009,370.97687326643404
Chadiza,2009,183.02125079111136
Chama,2009,645.5589702650602
Chipata,2009,439.8411932910395
Katete,2009,425.0735703359567
Lundazi,2009,713.5217552217372
Mambwe,2009,753.6381394978123
Nyimba,2009,839.9742800894225
Petauke,2009,1478.4599593510648
Chienge,2009,1282.3812002285827
Kawambwa,2009,4382.953729971756
Mansa,2009,1089.8605337853764
Milenge,2009,199.9832112376015
Mwense,2009,2521.0259325453812
Nchelenge,2009,3507.9904660965262
Samfya,2009,731.6761631744504
Chongwe,2009,528.0084334287158
Kafue,2009,781.0624770111921
Luangwa,2009,107.34888450927734
Lusaka,2009,18.165551517597272
Kabompo,2009,8549.770143149319
Kasempa,2009,4769.293566137743
Mufumbwe,2009,8470.29711976608
Mwinilunga,2009,16089.873487198796
Solwezi,2009,13950.51594487673
Chilubi,2009,1346.0621962690045
Chinsali,2009,2397.623225283969
Isoka,2009,1049.8684886153876
Kaputa,2009,1355.865387499282
Kasama,2009,524.7179730551806
Luwingu,2009,622.699496944628
Mbala,2009,421.5490953482594
Mpika,2009,3589.5204362308523
Mporokoso,2009,673.8034428721948
Mpulungu,2009,0.8817630187988281
Mungwi,2009,1199.519023971067
Nakonde,2009,186.60426421547086
Choma,2009,400.9853117053462
Gwembe,2009,207.28147507431927
Itezhi-tezhi,2009,410.7413373023179
Kalomo,2009,108.12858781738281
Kazungula,2009,104.95598154462029
Livingstone,2009,1.0228181274414063
Mazabuka,2009,122.34373226509841
Monze,2009,164.12456683502796
Namwala,2009,10.668065856933593
Siavonga,2009,503.85278685549275
Sinazongwe,2009,271.35872867493873
Kaoma,2009,6584.029104624694
Mongu,2009,339.6520142377307
Sesheke,2009,1940.170273604545
Chavuma,2009,387.71516716282264
Zambezi,2009,2741.191348317823
Kalabo,2009,344.1736769151396
Lukulu,2009,2570.405690011633
Senanga,2009,198.4435991612094
Shang'ombo,2009,666.4849197786697
Chibombo,2010,1185.794485584286
Kabwe,2010,25.206237677001955
Kapiri-Mposhi,2010,915.0537122333601
Mkushi,2010,2701.3593646301506
Mumbwa,2010,2096.4871691030703
Serenje,2010,1569.1124058206956
Chililabombwe,2010,1563.6461214063224
Chingola,2010,1439.2817361315201
Kalulushi,2010,2861.4044016842117
Kitwe,2010,4676.825852598037
Luanshya,2010,3031.7354395574603
Lufwanyama,2010,6277.2651911401845
Masaiti,2010,11371.244248017412
Mpongwe,2010,14247.79545934374
Mufulira,2010,3630.009717619174
Ndola,2010,3711.233882127303
Chadiza,2010,85.44196609439625
Chama,2010,631.180773940334
Chipata,2010,145.16006232924516
Katete,2010,94.7321064953374
Lundazi,2010,482.6329074631636
Mambwe,2010,181.53683061092602
Nyimba,2010,432.2842710947313
Petauke,2010,283.286777778799
Chienge,2010,5183.888945224561
Kawambwa,2010,7727.573355457643
Mansa,2010,9713.75908766781
Milenge,2010,2257.2983287201046
Mwense,2010,8179.431770180903
Nchelenge,2010,7897.240380498644
Samfya,2010,2643.7261300457885
Chongwe,2010,101.2762737121582
Kafue,2010,32.670398671204815
Luangwa,2010,74.9624442215983
Lusaka,2010,0.6899660949707032
Kabompo,2010,7892.241220931995
Kasempa,2010,220.5961026048369
Mufumbwe,2010,1020.4792270235907
Mwinilunga,2010,12990.627522302128
Solwezi,2010,1367.6158555315326
Chilubi,2010,362.81910111605777
Chinsali,2010,1381.1597325420544
