,district,year,total_pop,urban_pop,pct_urban
768,Lupososhi,2007,45841.390625,18.602691650390625,0.00040580556996116704
769,Luwingu,2007,58807.71875,0.0,0.0
770,Mbala,2007,107257.1796875,1301.244873046875,0.012132007170411597
771,Mporokoso,2007,39880.9921875,211.78262329101562,0.005310364955197759
772,Mpulungu,2007,94472.4453125,19.735980987548828,0.00020890727367398298
773,Mungwi,2007,138343.1875,0.0,0.0
774,Nsama,2007,53539.99609375,126.9141845703125,0.002370455618787911
775,Senga Hill,2007,82996.2265625,20.9913272857666,0.00025291905614478944
776,Chikankanta,2007,70045.515625,0.0,0.0
777,Choma,2007,190117.875,8031.67919921875,0.04224578672162599
778,Gwembe,2007,48076.18359375,0.0,0.0
779,Kalomo,2007,159318.5,459.5369873046875,0.0028843918773067
780,Kazungula,2007,99429.859375,0.0,0.0
781,Livingstone,2007,135725.40625,22091.2421875,0.16276423698308143
782,Mazabuka,2007,160463.453125,5153.63427734375,0.032117184174823295
783,Monze,2007,194040.40625,7068.40087890625,0.036427468976741796
784,Namwala,2007,96451.8515625,104.62482452392578,0.0010847362992936404
785,Pemba,2007,53600.5625,0.0,0.0
786,Siavonga,2007,45810.6953125,0.0,0.0
787,Sinazongwe,2007,101435.8828125,0.0,0.0
788,Zimba,2007,68161.2109375,0.0,0.0
789,Kalabo,2007,88529.9609375,0.0,0.0
790,Kaoma,2007,103245.46875,370.7106018066406,0.0035905750276003334
791,Limulunga,2007,48718.171875,1724.2808837890625,0.03539297180963982
792,Luampa,2007,48952.56640625,44.426048278808594,0.0009075325675496457
793,Lukulu,2007,53123.90625,3.3106274604797363,6.231897641148587e-05
794,Mitete,2007,26440.123046875,0.0,0.0
795,Mongu,2007,142115.234375,12873.7685546875,0.09058682984483872
796,Mulobezi,2007,27263.3125,9.743280410766602,0.00035737698457465874
797,Mwandi,2007,31024.859375,0.0,0.0
798,Nalolo,2007,52713.6875,126.18775177001953,0.0023938327549181517
799,Nkeyema,2007,38354.2734375,0.0,0.0
800,Senanga,2007,69176.109375,21.672956466674805,0.0003133011766994131
801,Sesheke,2007,36420.1015625,0.0,0.0
802,Shang'ombo,2007,36096.46484375,0.0,0.0
803,Sikongo,2007,41046.59765625,5.124678134918213,0.00012485025379778094
804,Sioma,2007,51715.48046875,98.01353454589844,0.0018952455562145432
805,Chibombo,2008,352377.3125,20024.55859375,0.05682703705208036
806,Chisamba,2008,108473.96875,8.449196815490723,7.789146938067317e-05
807,Chitambo,2008,79729.0234375,0.0,0.0
808,Itezhi-tezhi,2008,70982.8984375,55.12470245361328,0.0007765913151905207
809,Kabwe,2008,206089.03125,39928.8359375,0.1937455656679933
810,Kapiri Mposhi,2008,191954.296875,3210.569580078125,0.01672569789968722
