district,year,mean_start_day
Limulunga,2012,313.40909090909093
Luampa,2012,309.36507936507934
Lukulu,2012,312.7264957264957
Mitete,2012,308.11842105263156
Mongu,2012,325.6933333333333
Mulobezi,2012,322.9266666666667
Mwandi,2012,331.4025974025974
Nalolo,2012,331.8474576271187
Nkeyema,2012,308.9111111111111
Senanga,2012,330.793893129771
Sesheke,2012,334.9280575539568
Shang'ombo,2012,334.4226804123711
Sikongo,2012,319.7608695652174
Sioma,2012,335.15
Chibombo,2013,303.06363636363636
Chisamba,2013,313.5079365079365
Chitambo,2013,320.6267605633803
Itezhi-tezhi,2013,302.1363636363636
Kabwe,2013,305.3888888888889
Kapiri Mposhi,2013,305.7155963302752
Luano,2013,321.3247863247863
Mkushi,2013,308.6
Mumbwa,2013,300.2447257383966
Ngabwe,2013,298.6375
Serenje,2013,316.162962962963
Chililabombwe,2013,298.0
Chingola,2013,298.0
Kalulushi,2013,298.0
Kitwe,2013,298.0
Luanshya,2013,298.0
Lufwanyama,2013,298.0
Masaiti,2013,303.29545454545456
Mpongwe,2013,298.13392857142856
Mufulira,2013,298.0
Ndola,2013,300.84615384615387
Chadiza,2013,335.0
Chasefu,2013,336.0
Chipangali,2013,335.0
Chipata,2013,335.0
Kasenengwa,2013,335.0
Katete,2013,335.0
Lumezi,2013,335.9016393442623
Lundazi,2013,336.0
Mambwe,2013,335.3521126760563
Nyimba,2013,331.8582677165354
Petauke,2013,334.1818181818182
Sinda,2013,335.0
Vubwi,2013,335.0
Chembe,2013,298.0
Chiengi,2013,296.1521739130435
Chifunabuli,2013,300.2432432432432
Chipili,2013,298.0
Kawambwa,2013,297.9148936170213
Lunga,2013,310.5348837209302
Mansa,2013,298.5652173913044
Milengi,2013,301.8933333333333
Mwansabombwe,2013,297.3125
Mwense,2013,298.0
Nchelenge,2013,297.0408163265306
Samfya,2013,306.275
Chilanga,2013,309.47058823529414
Chirundu,2013,338.45454545454544
Chongwe,2013,329.7142857142857
Kafue,2013,332.140350877193
Luangwa,2013,337.375
Lusaka,2013,307.0
Rufunsa,2013,336.4
Shibuyunji,2013,305.0
Chama,2013,330.22641509433964
Chinsali,2013,316.29487179487177
Isoka,2013,316.0
Kanchibiya,2013,321.43689320388347
Lavushimanda,2013,325.7630057803468
Mafinga,2013,322.74468085106383
Mpika,2013,334.18446601941747
Nakonde,2013,315.19607843137254
Shiwamg'andu,2013,318.9357798165138
Chavuma,2013,296.4074074074074
Ikelenge,2013,254.66666666666666
Kabompo,2013,298.0
Kalumbila,2013,297.859872611465
Kasempa,2013,298.0867924528302
Manyinga,2013,298.0
Mufumbwe,2013,298.0
Mushindano,2013,298.0
Mwinilunga,2013,286.1085972850679
Solwezi,2013,298.0
Zambezi,2013,297.7100591715976
Chilubi,2013,304.7741935483871
Kaputa,2013,296.6774193548387
Kasama,2013,310.1171875
Lunte District,2013,298.94736842105266
Lupososhi,2013,298.04347826086956
Luwingu,2013,302.3333333333333
Mbala,2013,305.1578947368421
Mporokoso,2013,298.0
Mpulungu,2013,298.1951219512195
Mungwi,2013,315.97391304347826
Nsama,2013,297.04395604395603
Senga Hill,2013,313.6034482758621
Chikankanta,2013,337.05555555555554
Choma,2013,332.1694915254237
Gwembe,2013,338.6458333333333
Kalomo,2013,327.78
Kazungula,2013,324.2232142857143
Livingstone,2013,353.1111111111111
Mazabuka,2013,314.6304347826087
Monze,2013,329.8333333333333
Namwala,2013,314.3484848484849
Pemba,2013,336.28
Siavonga,2013,338.5652173913044
Sinazongwe,2013,340.60655737704917
Zimba,2013,340.0149253731343
Kalabo,2013,297.9491525423729
Kaoma,2013,298.0
Limulunga,2013,298.0
Luampa,2013,298.0
Lukulu,2013,298.0
Mitete,2013,298.0
Mongu,2013,297.9866666666667
Mulobezi,2013,298.0133333333333
Mwandi,2013,310.38961038961037
Nalolo,2013,297.0169491525424
Nkeyema,2013,298.0
Senanga,2013,297.77862595419845
Sesheke,2013,310.0575539568345
Shang'ombo,2013,296.4742268041237
Sikongo,2013,297.60869565217394
Sioma,2013,299.19
Chibombo,2014,324.7090909090909
Chisamba,2014,325.23809523809524
Chitambo,2014,325.1901408450704
Itezhi-tezhi,2014,321.07575757575756
Kabwe,2014,324.0
Kapiri Mposhi,2014,323.4036697247706
Luano,2014,325.7521367521368
Mkushi,2014,323.84
Mumbwa,2014,324.126582278481
Ngabwe,2014,322.9875
Serenje,2014,324.3925925925926
Chililabombwe,2014,324.0
Chingola,2014,324.0
Kalulushi,2014,324.0
Kitwe,2014,324.0
Luanshya,2014,323.22222222222223
Lufwanyama,2014,323.8992248062016
Masaiti,2014,323.0
Mpongwe,2014,323.1607142857143
Mufulira,2014,324.0
Ndola,2014,323.61538461538464
Chadiza,2014,325.0
Chasefu,2014,327.9230769230769
Chipangali,2014,325.0
Chipata,2014,325.0
Kasenengwa,2014,325.0
Katete,2014,325.0
Lumezi,2014,327.172131147541
Lundazi,2014,327.47058823529414
Mambwe,2014,325.3943661971831
Nyimba,2014,326.1968503937008
Petauke,2014,325.6136363636364
Sinda,2014,325.0
Vubwi,2014,325.09090909090907
Chembe,2014,324.875
Chiengi,2014,322.1304347826087
Chifunabuli,2014,325.0
Chipili,2014,324.77358490566036
Kawambwa,2014,325.1808510638298
Lunga,2014,326.04651162790697
Mansa,2014,324.60869565217394
Milengi,2014,324.58666666666664
Mwansabombwe,2014,323.75
Mwense,2014,324.4230769230769
Nchelenge,2014,324.1224489795918
Samfya,2014,324.95
Chilanga,2014,319.70588235294116
Chirundu,2014,310.59090909090907
Chongwe,2014,322.92857142857144
Kafue,2014,314.10526315789474
Luangwa,2014,328.125
Lusaka,2014,325.0
Rufunsa,2014,327.02608695652174
Shibuyunji,2014,325.0
Chama,2014,329.9292452830189
Chinsali,2014,328.70512820512823
Isoka,2014,328.4193548387097
Kanchibiya,2014,328.6504854368932
Lavushimanda,2014,327.04624277456645
Mafinga,2014,328.8085106382979
Mpika,2014,329.72330097087377
Nakonde,2014,327.19607843137254
Shiwamg'andu,2014,328.61467889908255
Chavuma,2014,306.0740740740741
Ikelenge,2014,321.2916666666667
Kabompo,2014,322.7176470588235
Kalumbila,2014,323.3503184713376
