district,year,forest_cover_ha,loss_m2,percent_loss_annual
Nchelenge,2018,115184.35544079404,14524478.50822347,1.2452740557291542
Nchelenge,2019,114067.2181540519,11171372.867421348,0.969868939637688
Nchelenge,2020,112361.94084167428,17052773.123776186,1.4949758045949537
Nchelenge,2021,110989.60401714868,13723368.245256012,1.2213537913690173
Nchelenge,2022,109644.19121281063,13454128.043380437,1.2121971388691213
Ndola,2001,33646.061562196155,1000060.5399976543,0.29634876317194664
Ndola,2002,33299.16005257014,3469015.0962601,1.0310315487735409
Ndola,2003,33182.042964096814,1171170.8847333123,0.351711839843515
Ndola,2004,33176.63707807997,54058.86016845703,0.016291600920096773
Ndola,2005,33010.78161008575,1658554.6799421723,0.4999164550761508
Ndola,2006,32830.3924130905,1803891.9699525123,0.5464553948644981
Ndola,2007,32806.135108111295,242573.04979200175,0.07388673480956638
Ndola,2008,32611.956502995235,1941786.0511606254,0.591897230430085
Ndola,2009,32240.9796297288,3709768.73266434,1.1375486571385613
Ndola,2010,28529.745747601497,37112338.82127303,11.510921581009418
Ndola,2011,28424.471787263195,1052739.6033830228,0.36899719075538095
Ndola,2012,23526.033229747856,48984385.57515341,17.233173563176983
Ndola,2013,21970.140517906246,15558927.118416103,6.613493641904057
Ndola,2014,20287.86291527604,16822776.026302084,7.657108980523396
Ndola,2015,19009.20343776929,12786594.77506749,6.30258338616811
Ndola,2016,17489.504644574015,15196987.931952747,7.9945422130408295
Ndola,2017,16119.150196515891,13703544.480581248,7.835295944092199
Ndola,2018,14814.990642020088,13041595.544958016,8.090746339578695
Ndola,2019,13775.758579829788,10392320.621903006,7.014733166571861
Ndola,2020,12879.844342630775,8959142.37199013,6.503556461208561
Ndola,2021,12304.262597205132,5755817.454256425,4.468856378337853
Ndola,2022,12114.441933172073,1898206.640330595,1.5427227965386285
Nyimba,2001,339362.3304036306,4332563.587757783,0.12750499878585003
Nyimba,2002,339053.9204989479,3084099.0468271296,0.09087923940052406
Nyimba,2003,338783.7460963317,2701744.0261620614,0.07968478943367491
