district,season_year,mean_growing_spei,median_growing_spei,n_months,province,province_avg_start_date,province_avg_end_date
Serenje,2015,-1.6177766561508178,-1.719841718673706,5,Central,November 18,April 22
Serenje,2016,-1.2954054713249206,-1.2203171253204346,5,Central,November 18,April 22
Serenje,2017,-0.4844775438308716,-0.4108429253101349,5,Central,November 18,April 22
Serenje,2018,0.03548261255491526,0.0345910899341106,5,Central,November 18,April 22
Serenje,2019,0.16460947357118128,0.0724209547042846,5,Central,November 18,April 22
Serenje,2020,0.3485206750531991,0.3811332881450653,6,Central,November 18,April 22
Serenje,2021,0.06729893758893016,0.1145372465252876,5,Central,November 18,April 22
Sesheke,2000,-0.43282893896102903,-0.3766970336437225,5,Western,November 07,April 13
Sesheke,2001,-0.11896057799458504,-0.16583902016282076,6,Western,November 07,April 13
Sesheke,2002,-0.4956556260585785,-0.5740987062454224,3,Western,November 07,April 13
Sesheke,2003,-0.31778028607368464,-0.31778028607368464,2,Western,November 07,April 13
Sesheke,2004,-0.5050407648086548,-0.6998918652534485,4,Western,November 07,April 13
Sesheke,2005,-0.7336354628205299,-0.7964653372764587,4,Western,November 07,April 13
Sesheke,2006,0.591666653752327,0.6726873815059662,6,Western,November 07,April 13
Sesheke,2007,1.2179213523864747,1.1721471548080444,5,Western,November 07,April 13
Sesheke,2008,1.59633047580719,1.5883480310440063,5,Western,November 07,April 13
Sesheke,2009,1.7816912412643433,1.77814519405365,5,Western,November 07,April 13
Sesheke,2010,1.8914580543835957,1.864395022392273,6,Western,November 07,April 13
Sesheke,2011,1.6095176935195923,1.493131160736084,3,Western,November 07,April 13
Sesheke,2012,1.219311073422432,1.2869446277618408,4,Western,November 07,April 13
Sesheke,2013,0.9024524390697479,0.9307211339473724,4,Western,November 07,April 13
Sesheke,2014,0.19233127186695734,0.20577733963727945,6,Western,November 07,April 13
Sesheke,2015,-0.7273861765861511,-0.7664785385131836,4,Western,November 07,April 13
Sesheke,2016,-0.5104807540774345,-0.6132820844650269,5,Western,November 07,April 13
Sesheke,2017,0.49167621284723284,0.5677229166030884,5,Western,November 07,April 13
Sesheke,2018,0.07844733549281957,0.1278994083404541,5,Western,November 07,April 13
Sesheke,2019,0.12096634926274419,0.1278994083404541,3,Western,November 07,April 13
Sesheke,2020,0.23939711749553677,0.2707435190677643,5,Western,November 07,April 13
Sesheke,2021,-0.9936941489577293,-1.114383041858673,4,Western,November 07,April 13
Shang'ombo,2000,-0.12432614030937354,-0.07916578464210029,6,Western,November 07,April 13
Shang'ombo,2001,0.20907492749392986,0.1443621926009655,6,Western,November 07,April 13
Shang'ombo,2002,-0.18567241430282594,-0.1690151989459991,5,Western,November 07,April 13
Shang'ombo,2003,0.004963411390781397,-0.034798365086317,5,Western,November 07,April 13
Shang'ombo,2004,-0.3233713433146477,-0.4697969853878021,4,Western,November 07,April 13
Shang'ombo,2005,-0.5049515575170517,-0.572464644908905,5,Western,November 07,April 13
