,district,year,spei,mean_growing_period
918,Kawambwa,2016,0.039008280000000006,192.5
919,Kawambwa,2017,-1.2084315583333334,166.5744680851064
920,Kawambwa,2018,-1.3453468683333334,200.54255319148936
921,Kawambwa,2019,-0.22680207416666667,169.2340425531915
922,Kawambwa,2020,0.68286133,195.58510638297872
923,Kawambwa,2021,1.4458204541666666,169.19148936170214
924,Kazungula,2000,0.19848678783333332,150.77232142857142
925,Kazungula,2001,0.4236117375,146.97321428571428
926,Kazungula,2002,0.3475783641666667,71.64732142857143
927,Kazungula,2003,-0.22944825166666669,98.29017857142856
928,Kazungula,2004,-0.11217488616666667,145.37946428571428
929,Kazungula,2005,-1.2311039716666667,116.08482142857144
930,Kazungula,2006,0.060353395,153.43303571428572
931,Kazungula,2007,0.9385332058333334,135.89732142857142
932,Kazungula,2008,1.4218311916666666,148.71428571428572
933,Kazungula,2009,1.8909620416666666,157.40178571428572
934,Kazungula,2010,1.9033914666666665,168.26785714285714
935,Kazungula,2011,1.8995116333333335,90.87053571428572
936,Kazungula,2012,1.3709150416666667,141.39285714285714
937,Kazungula,2013,1.0304730416666665,132.08928571428572
938,Kazungula,2014,0.8405650116666666,126.0
939,Kazungula,2015,0.23167036608333333,141.13392857142858
940,Kazungula,2016,-0.13713230075000002,129.83482142857142
941,Kazungula,2017,0.4516454816666667,141.86160714285714
