district,year,mean_growing_period
Sikongo,2012,152.57608695652175
Sioma,2012,119.3
Chibombo,2013,161.42727272727274
Chisamba,2013,151.79365079365078
Chitambo,2013,166.88732394366198
Itezhi-tezhi,2013,160.5252525252525
Kabwe,2013,162.66666666666666
Kapiri Mposhi,2013,169.41284403669724
Luano,2013,150.43589743589743
Mkushi,2013,174.26
Mumbwa,2013,165.0801687763713
Ngabwe,2013,178.5375
Serenje,2013,169.35555555555555
Chililabombwe,2013,193.0
Chingola,2013,193.1904761904762
Kalulushi,2013,193.16666666666666
Kitwe,2013,193.0
Luanshya,2013,192.55555555555554
Lufwanyama,2013,192.87596899224806
Masaiti,2013,186.04545454545453
Mpongwe,2013,190.25892857142858
Mufulira,2013,193.375
Ndola,2013,189.76923076923077
Chadiza,2013,151.5
Chasefu,2013,151.8846153846154
Chipangali,2013,150.03225806451613
Chipata,2013,151.25
Kasenengwa,2013,148.45454545454547
Katete,2013,149.3
Lumezi,2013,150.0983606557377
Lundazi,2013,153.11764705882354
Mambwe,2013,145.57746478873239
Nyimba,2013,141.44094488188978
Petauke,2013,144.4318181818182
Sinda,2013,146.9090909090909
Vubwi,2013,150.72727272727272
Chembe,2013,195.16666666666666
Chiengi,2013,189.7173913043478
Chifunabuli,2013,198.6216216216216
Chipili,2013,198.9433962264151
Kawambwa,2013,198.80851063829786
Lunga,2013,184.6046511627907
Mansa,2013,197.19565217391303
Milengi,2013,194.48
Mwansabombwe,2013,198.5
Mwense,2013,195.30769230769232
Nchelenge,2013,198.14285714285714
Samfya,2013,192.225
Chilanga,2013,157.11764705882354
Chirundu,2013,132.3181818181818
Chongwe,2013,139.96428571428572
Kafue,2013,138.2280701754386
Luangwa,2013,127.85416666666667
Lusaka,2013,159.75
Rufunsa,2013,133.77391304347827
Shibuyunji,2013,158.0
Chama,2013,155.29716981132074
Chinsali,2013,170.5
Isoka,2013,180.2258064516129
Kanchibiya,2013,166.33009708737865
Lavushimanda,2013,161.72254335260115
Mafinga,2013,179.31914893617022
Mpika,2013,152.41747572815535
Nakonde,2013,183.98039215686273
Shiwamg'andu,2013,168.21100917431193
Chavuma,2013,191.74074074074073
Ikelenge,2013,245.66666666666666
Kabompo,2013,188.45882352941177
